ibge;nome;uf;regiao;tipo;status;cnpj_prefeitura;nota
4101804;Araucária;PR;Sul;polo-interior;pronta;76105535000199;
4104303;Campo Mourão;PR;Sul;polo-interior;pronta;75904524000106;
4104808;Cascavel;PR;Sul;polo-interior;pronta;76208867000107;
4108304;Foz do Iguaçu;PR;Sul;polo-interior;pronta;76206606000140;
4109401;Guarapuava;PR;Sul;polo-interior;pronta;76178037000176;
4113700;Londrina;PR;Sul;polo-interior;delegada;75771477000170;delegada gemini (24/09)
4115200;Maringá;PR;Sul;polo-interior;delegada;76282656000106;delegada gemini (24/09)
4118402;Paranavaí;PR;Sul;polo-interior;pronta;76977768000181;
4119905;Ponta Grossa;PR;Sul;polo-interior;pronta;76175884000187;
4125506;São José dos Pinhais;PR;Sul;polo-interior;pronta;76105543000135;
4127700;Toledo;PR;Sul;polo-interior;pronta;76205806000188;
4128104;Umuarama;PR;Sul;polo-interior;pronta;76247378000156;
4202008;Balneário Camboriú;SC;Sul;polo-interior;pronta;83102285000107;
4202404;Blumenau;SC;Sul;polo-interior;pronta;83108357000115;
4202909;Brusque;SC;Sul;polo-interior;pronta;83102343000194;
4204202;Chapecó;SC;Sul;polo-interior;pronta;83021808000182;
4204608;Criciúma;SC;Sul;polo-interior;pronta;82916818000113;
4208203;Itajaí;SC;Sul;polo-interior;pronta;83102277000152;
4208906;Jaraguá do Sul;SC;Sul;polo-interior;pronta;83102459000123;
4209102;Joinville;SC;Sul;polo-interior;delegada;83169623000110;delegada gemini (24/09)
4209300;Lages;SC;Sul;polo-interior;pronta;82777301000190;
4211900;Palhoça;SC;Sul;polo-interior;pronta;82892316000108;
4216602;São José;SC;Sul;polo-interior;pronta;82892274000105;
4218707;Tubarão;SC;Sul;polo-interior;pronta;82928656000133;
4304606;Canoas;RS;Sul;polo-interior;pronta;88577416000118;
4305108;Caxias do Sul;RS;Sul;polo-interior;delegada;88830609000139;delegada gemini (24/09)
4307005;Erechim;RS;Sul;polo-interior;pronta;87613477000120;
4313409;Novo Hamburgo;RS;Sul;polo-interior;pronta;88254875000160;
4314100;Passo Fundo;RS;Sul;polo-interior;pronta;87612537000190;
4314407;Pelotas;RS;Sul;polo-interior;delegada;87455531000157;delegada gemini (24/09)
4315602;Rio Grande;RS;Sul;polo-interior;bloqueada-cnpj;;cnpj_prefeitura ausente no catalogo
4316808;Santa Cruz do Sul;RS;Sul;polo-interior;pronta;95440517000108;
4316907;Santa Maria;RS;Sul;polo-interior;pronta;88488366000100;
4318705;São Leopoldo;RS;Sul;polo-interior;pronta;89814693000160;
5003207;Corumbá;MS;Centro-Oeste;polo-interior;pronta;03330461000110;
5003702;Dourados;MS;Centro-Oeste;polo-interior;pronta;03155926000144;
5008305;Três Lagoas;MS;Centro-Oeste;polo-interior;pronta;03184041000173;
5102504;Cáceres;MT;Centro-Oeste;polo-interior;pronta;03214145000183;
5105259;Lucas do Rio Verde;MT;Centro-Oeste;polo-interior;pronta;24772246000140;
5107602;Rondonópolis;MT;Centro-Oeste;polo-interior;pronta;03347101000121;
5107909;Sinop;MT;Centro-Oeste;polo-interior;pronta;15024003000132;
5107958;Tangará da Serra;MT;Centro-Oeste;polo-interior;pronta;03788239000166;
5108402;Várzea Grande;MT;Centro-Oeste;polo-interior;pronta;03507548000110;
5200258;Águas Lindas de Goiás;GO;Centro-Oeste;polo-interior;pronta;01616520000196;
5201108;Anápolis;GO;Centro-Oeste;polo-interior;delegada;01067479000146;delegada gemini (24/09)
5201405;Aparecida de Goiânia;GO;Centro-Oeste;polo-interior;delegada;01005727000124;delegada gemini (24/09)
5205109;Catalão;GO;Centro-Oeste;polo-interior;pronta;01505643000150;
5208004;Formosa;GO;Centro-Oeste;polo-interior;pronta;01738780000134;
5211503;Itumbiara;GO;Centro-Oeste;polo-interior;pronta;02204196000161;
5211909;Jataí;GO;Centro-Oeste;polo-interior;pronta;01165729000180;
5212501;Luziânia;GO;Centro-Oeste;polo-interior;pronta;01169416000109;
